Song_Name,Artist,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Temp,Target
Under The Sun (with J. Cole & Lute feat. DaBaby),Dreamville,0.691,0.64,0,-6.441,0.369,0.511,0,0.409,0.163,138.672,1
"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",Dreamville,0.761,0.586,0,-5.368,0.359,0.0392,0,0.0558,0.719,149.804,1
LamboTruck (with Cozz feat. REASON & Childish Major),Dreamville,0.678,0.695,10,-5.323,0.286,0.0485,0,0.254,0.242,135.044,1
"Swivel (with EARTHGANG) - From The Upcoming Album ""Mirrorland""",Dreamville,0.507,0.545,2,-7.209,0.43,0.25,0,0.239,0.392,78.461,1
"Oh Wow...Swerve (with J. Cole feat. Zoink Gang, KEY! & Maxo Kream)",Dreamville,0.509,0.703,1,-6.097,0.512,0.39,0,0.269,0.301,174.259,1
"Don't Hit Me Right Now (with Bas & Cozz feat. Yung Baby Tate, Guapdad 4000 & Buddy)",Dreamville,0.779,0.597,10,-6.694,0.0851,0.561,0,0.131,0.432,124.056,1
Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude,Dreamville,0.8,0.826,1,-3.198,0.107,0.0706,4.76e-06,0.181,0.241,148.021,1
Sleep Deprived (with Lute & Omen feat. Mez & DaVionne),Dreamville,0.636,0.8,11,-4.265,0.347,0.337,0,0.39,0.704,88.657,1
Self Love (with Ari Lennox & Bas feat. Baby Rose),Dreamville,0.761,0.697,5,-6.164,0.0568,0.186,0,0.126,0.197,106.051,1
"Ladies, Ladies, Ladies (with JID feat. T.I.)",Dreamville,0.631,0.687,11,-6.177,0.258,0.753,0,0.309,0.534,80.706,1
"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Dreamville,0.642,0.647,7,-6.312,0.428,0.517,0,0.0649,0.664,120.749,1
"1993 (with J. Cole, JID, Cozz & EARTHGANG feat. Smino & Buddy)",Dreamville,0.525,0.725,7,-5.318,0.629,0.529,0,0.598,0.693,175.63,1
Rembrandt...Run It Back (with JID & J. Cole feat. Vince Staples),Dreamville,0.631,0.568,7,-5.946,0.456,0.442,0.00444,0.111,0.263,140.212,1
Sunset (with J. Cole feat. Young Nudy),Dreamville,0.924,0.385,1,-7.049,0.185,0.187,0,0.132,0.39,129.976,1
Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),Dreamville,0.664,0.61,7,-6.432,0.339,0.145,0,0.097,0.472,76.024,1
MIDDLE CHILD,Dreamville,0.84,0.484,8,-6.899,0.241,0.192,0,0.282,0.512,126.023,1
"PTSD (with Omen feat. Mereba, Deante' Hitchcock & St. Beauty)",Dreamville,0.68,0.883,1,-5.387,0.395,0.187,0,0.116,0.59,96.173,1
Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),Dreamville,0.825,0.672,0,-7.108,0.418,0.0858,0,0.123,0.246,147.01,1
The Ringer,Eminem,0.939,0.551,1,-9.126,0.291,0.0311,0,0.192,0.42,118.552,1
Greatest,Eminem,0.809,0.737,1,-5.186,0.108,0.0441,0,0.341,0.367,80.025,1
Lucky You (feat. Joyner Lucas),Eminem,0.876,0.786,10,-4.884,0.306,0.0627,0,0.127,0.575,153.068,1
Normal,Eminem,0.907,0.64,6,-6.542,0.354,0.261,0,0.0785,0.803,120.995,1
Stepping Stone,Eminem,0.616,0.684,7,-6.032,0.311,0.0305,0,0.376,0.312,179.503,1
Not Alike (feat. Royce Da 5'9),Eminem,0.904,0.756,10,-3.746,0.32,0.0692,0,0.339,0.342,140.005,1
Kamikaze,Eminem,0.78,0.808,2,-5.175,0.484,0.112,0,0.329,0.642,79.982,1
Fall,Eminem,0.83,0.546,1,-5.716,0.295,0.227,0,0.112,0.535,182.973,1
Nice Guy (with Jessie Reyez),Eminem,0.65,0.639,8,-5.962,0.458,0.0942,0,0.135,0.563,139.226,1
Good Guy (feat. Jessie Reyez),Eminem,0.696,0.634,9,-6.918,0.281,0.244,0,0.437,0.728,89.973,1
Venom - Music From The Motion Picture,Eminem,0.749,0.794,0,-5.063,0.064,0.0193,0,0.543,0.46,135.959,1
Don't Cry (feat. XXXTENTACION),Lil Wayne,0.585,0.709,8,-6.072,0.319,0.409,0,0.183,0.21,111.913,1
Dedicate,Lil Wayne,0.879,0.662,2,-6.162,0.309,0.033,0,0.716,0.723,117.975,1
Uproar,Lil Wayne,0.743,0.87,1,-2.188,0.212,0.0595,0,0.299,0.884,99.075,1
Let It Fly (feat. Travis Scott),Lil Wayne,0.902,0.819,1,-3.321,0.317,0.0414,0,0.106,0.746,89.0,1
Can't Be Broken,Lil Wayne,0.578,0.577,2,-5.997,0.202,0.121,0,0.086,0.154,99.288,1
Mona Lisa (feat. Kendrick Lamar),Lil Wayne,0.855,0.694,2,-4.393,0.169,0.371,0,0.109,0.49,122.078,1
Open Letter,Lil Wayne,0.769,0.55,9,-6.299,0.359,0.0283,0,0.139,0.36,97.01,1
Famous (feat. Reginae Carter),Lil Wayne,0.624,0.568,9,-5.664,0.143,0.0301,0,0.25,0.115,149.857,1
Problems,Lil Wayne,0.807,0.571,2,-6.937,0.312,0.0169,0,0.252,0.0993,139.996,1
