Song_Name,Artist,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Temp,Target
Ransom,Lil Tecca,0.745,0.642,7,-6.257,0.287,0.0204,0,0.0658,0.226,179.974
Señorita (with Camila Cabello),Shawn Mendes,0.759,0.548,9,-6.049,0.029,0.0392,0,0.0828,0.749,116.967
Truth Hurts,Lizzo,0.715,0.624,4,-3.046,0.114,0.11,0,0.123,0.412,158.087
Goodbyes (Feat. Young Thug),Post Malone,0.58,0.653,5,-3.818,0.0745,0.447,0,0.111,0.175,150.231
Money In The Grave (Drake ft. Rick Ross),Drake,0.831,0.502,10,-4.045,0.046,0.101,0,0.122,0.101,100.541
Panini,Lil Nas X,0.703,0.594,5,-6.146,0.0752,0.342,0,0.123,0.475,153.848
Sunflower - Spider-Man: Into the Spider-Verse,Various Artists,0.76,0.479,2,-5.574,0.0466,0.556,0,0.0703,0.913,89.911
Beautiful People (feat. Khalid),Ed Sheeran,0.64,0.648,5,-8.113,0.187,0.124,0,0.0802,0.548,92.977
No Guidance (feat. Drake),Chris Brown,0.698,0.454,1,-6.756,0.151,0.123,0,0.155,0.137,92.932
Suge,DaBaby,0.876,0.662,2,-6.482,0.426,0.0608,0,0.127,0.844,75.445
Hot Shower,Chance the Rapper,0.897,0.522,2,-7.578,0.374,0.0016,0,0.0554,0.623,149.986
Lalala,Y2K,0.843,0.391,2,-7.899,0.0845,0.181,0,0.137,0.496,129.972
How Do You Sleep?,Sam Smith,0.477,0.682,1,-4.931,0.0925,0.153,0,0.0763,0.345,110.567
The London (feat. J. Cole & Travis Scott),Young Thug,0.796,0.586,4,-6.946,0.147,0.0247,0,0.132,0.179,97.981
bad guy,Billie Eilish,0.701,0.425,7,-10.965,0.375,0.328,0.13,0.1,0.562,135.128
Pop Out (feat. Lil Tjay),Polo G,0.772,0.639,1,-7.119,0.467,0.15,0,0.0698,0.261,168.112
Antisocial (with Travis Scott),Ed Sheeran,0.715,0.823,5,-5.313,0.0495,0.133,0,0.361,0.91,151.956
One Thing Right - feat. Kane Brown,Marshmello,0.659,0.623,4,-2.253,0.0451,0.0667,0,0.582,0.439,88.042
Talk,Khalid,0.901,0.4,0,-8.575,0.126,0.051,0,0.0599,0.346,135.984
Old Town Road - Remix,Lil Nas X,0.878,0.619,6,-5.56,0.102,0.0533,0,0.113,0.639,136.041
I Don't Care (with Justin Bieber),Ed Sheeran,0.798,0.675,6,-5.041,0.0442,0.0912,0,0.0894,0.842,101.956
